id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19019667,Home in Portland · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,2236909,Shane,,King,45.55977,-122.65653,Private room,43,31,27,8/31/2023,0.39,6,239,1,
42619371,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,8587273,Kanchan And Peter,,St. Johns,45.59045,-122.74738,Private room,43,30,10,12/7/2023,0.22,6,320,4,
47833897,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,8587273,Kanchan And Peter,,St. Johns,45.5907,-122.74724,Private room,43,30,4,4/30/2023,0.15,6,281,1,
7.02842E+17,Home in Portland · 1 bedroom · 1 bed · 1.5 shared baths,8587273,Kanchan And Peter,,St. Johns,45.58958,-122.74826,Private room,45,30,1,10/3/2022,0.07,6,46,0,19-204095-000-00-HO
1386231,Home in Portland · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,2236909,Shane,,King,45.56232,-122.65597,Private room,45,31,69,7/1/2023,0.55,6,352,2,
12025679,Condo in Portland · ★4.71 · 1 bedroom · 1 bed · 1 bath,828435,Furnished In Portland,,Mt. Tabor,45.51211,-122.61073,Entire home/apt,45,30,17,5/8/2023,0.18,6,48,2,
450488,Home in Portland · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,2236909,Shane,,King,45.56061,-122.6565,Private room,45,31,107,4/20/2023,0.77,6,224,2,
1046001,Home in Portland · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,2236909,Shane,,King,45.55965,-122.65729,Private room,46,31,85,11/4/2023,0.66,6,318,3,
13318747,Condo in Portland · ★4.56 · 2 bedrooms · 2 beds · 1 bath,828435,Furnished In Portland,,Mt. Tabor,45.51225,-122.61089,Entire home/apt,50,30,9,3/24/2023,0.1,6,180,1,
16364330,Rental unit in Portland · ★4.88 · 1 bedroom · 1 bed · 1 bath,98202133,Toney,,Northwest District,45.53909,-122.69658,Entire home/apt,50,31,41,10/29/2023,0.48,6,10,2,
12293322,Condo in Portland · ★4.67 · 1 bedroom · 1 bed · 1 bath,828435,Furnished In Portland,,Mt. Tabor,45.51211,-122.6108,Entire home/apt,50,30,21,11/2/2023,0.23,6,169,5,
28073771,Rental unit in Portland · ★4.96 · 1 bedroom · 1 bed · 1 bath,98202133,Toney,,Northwest District,45.53837,-122.69786,Entire home/apt,55,31,160,1/13/2023,2.47,6,1,1,
317797,Condo in Portland · ★4.78 · 1 bedroom · 1 bed · 1 bath,828435,Furnished In Portland,,Mt. Tabor,45.51091838,-122.6112832,Entire home/apt,55,30,40,11/28/2023,0.28,6,167,1,
27163639,Farm stay in Portland · ★4.72 · 1 bedroom · 1 bed · 2 shared baths,421792,Jesse,,Powellhurst-Gilbert,45.48904,-122.51805,Private room,55,31,36,10/2/2023,0.55,6,90,4,20-211594-000-00-HO
5185383,Rental unit in Portland · ★4.84 · 2 bedrooms · 1 bed · 1 bath,26822355,Todji,,Richmond,45.50959,-122.6233,Entire home/apt,57,1,359,11/13/2023,3.8,6,1,30,17-221635-000-00-LU
1.00459E+18,Rental unit in Portland · ★4.80 · 1 bedroom · 1 bed · 1 bath,291835749,Bianca,,Hosford-Abernethy,45.50024,-122.64205,Entire home/apt,65,1,10,12/5/2023,5.26,6,350,10,Exempt
44395944,Home in Portland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,8587273,Kanchan And Peter,,St. Johns,45.59037,-122.74604,Private room,65,30,9,8/22/2023,0.24,6,115,1,
6.04389E+17,Rental unit in Portland · ★4.79 · 1 bedroom · 1 bed · 1 bath,291835749,Bianca,,Hosford-Abernethy,45.49999,-122.64256,Entire home/apt,65,2,123,12/11/2023,6.1,6,0,67,Exempt
3551900,Home in Portland · ★4.95 · 1 bedroom · 1 bed · 1 private bath,8587273,Kanchan And Peter,,St. Johns,45.59045,-122.74738,Private room,65,28,22,9/5/2023,0.47,6,139,4,19-204095-000-00-HO
6.39869E+17,Farm stay in Portland · ★4.89 · 1 bedroom · 1 bed · 1 bath,421792,Jesse,,Pleasant Valley,45.48972,-122.51649,Entire home/apt,67,1,140,12/10/2023,8.05,6,346,91,20-211594-000-00-HO
